Composer,Title,Catalog Number,Completed,Nickname,Work Number,Work Nickname,Key,Notes,Wikipedia,IMSLP,Opus IMSLP,Opus Notes
Boccherini,1,159,1761,,1,,c minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_C_minor%2C_G.159_(Boccherini%2C_Luigi),"https://imslp.org/wiki/6_String_Quartets,_Op.2_(Boccherini,_Luigi)",
Boccherini,2,160,1761,,2,,B-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_B-flat_major%2C_G.160_(Boccherini%2C_Luigi),"https://imslp.org/wiki/6_String_Quartets,_Op.2_(Boccherini,_Luigi)",
Boccherini,3,161,1761,,3,,D Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_D_major%2C_G.161_(Boccherini%2C_Luigi),"https://imslp.org/wiki/6_String_Quartets,_Op.2_(Boccherini,_Luigi)",
Boccherini,4,162,1761,,4,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_E-flat_major%2C_G.162_(Boccherini%2C_Luigi),"https://imslp.org/wiki/6_String_Quartets,_Op.2_(Boccherini,_Luigi)",
Boccherini,5,163,1761,,5,,E Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_E_major%2C_G.163_(Boccherini%2C_Luigi),"https://imslp.org/wiki/6_String_Quartets,_Op.2_(Boccherini,_Luigi)",
Boccherini,6,164,1761,,6,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_C_major%2C_G.164_(Boccherini%2C_Luigi),"https://imslp.org/wiki/6_String_Quartets,_Op.2_(Boccherini,_Luigi)",
Boccherini,7,165,1768,Infante Luis of Spain,1,,D Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_D_major%2C_G.165_(Boccherini%2C_Luigi),,
Boccherini,8,166,1768,Infante Luis of Spain,2,,c minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_C_minor%2C_G.166_(Boccherini%2C_Luigi),,
Boccherini,9,167,1768,Infante Luis of Spain,3,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_E-flat_major%2C_G.167_(Boccherini%2C_Luigi),,
Boccherini,10,168,1768,Infante Luis of Spain,4,,g minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_G_minor%2C_G.168_(Boccherini%2C_Luigi),,
Boccherini,11,169,1768,Infante Luis of Spain,5,,F Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_F_major%2C_G.169_(Boccherini%2C_Luigi),,
Boccherini,12,170,1768,Infante Luis of Spain,6,,A Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_A_major%2C_G.170_(Boccherini%2C_Luigi),,
Boccherini,13,171,1770,Alli Signori Diletanti di Madrid,1,,c minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_C_minor%2C_G.171_(Boccherini%2C_Luigi),,
Boccherini,14,172,1770,Alli Signori Diletanti di Madrid,2,,d minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_D_minor%2C_G.172_(Boccherini%2C_Luigi),,
Boccherini,15,173,1770,Alli Signori Diletanti di Madrid,3,,F Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_F_major%2C_G.173_(Boccherini%2C_Luigi),,
Boccherini,16,174,1770,Alli Signori Diletanti di Madrid,4,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_E-flat_major%2C_G.174_(Boccherini%2C_Luigi),,
Boccherini,17,175,1770,Alli Signori Diletanti di Madrid,5,,D Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_D_major%2C_G.175_(Boccherini%2C_Luigi),,
Boccherini,18,176,1770,Alli Signori Diletanti di Madrid,6,,E Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_E_major%2C_G.176_(Boccherini%2C_Luigi),,
